"Weight",0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,250,300,350,400,450,500
"CAN output",48,57,65,75,84,93,102,112,121,130,140,149,159,168,177,187,195,205,215,224,243,280,324,372,424,462,502
"Slope","0,9","0,8",1,"0,9","0,9","0,9",1,"0,9","0,9",1,"0,9",1,"0,9","0,9",1,"0,8",1,1,"0,9","1,9","0,74","0,88","0,96","1,04","0,76","0,8","1,004"
"Corrected",0,"9,71590909090909","18,3522727272727","29,1477272727273","38,8636363636364","48,5795454545455","58,2954545454545","69,0909090909091","78,8068181818182","88,5227272727273","99,3181818181818","109,034090909091","119,829545454545","129,545454545455","139,261363636364","150,056818181818","158,693181818182","169,488636363636","180,284090909091",190,"210,511363636364","250,454545454545","297,954545454545","349,772727272727","405,909090909091","446,931818181818","490,113636363636"
"Projected",0,"9,72","18,36","29,16","38,88","48,6","58,32","69,12","78,84","88,56","99,36","109,08","119,88","129,6","139,32","150,12","158,76","169,56","180,36","190,08","210,6","250,56","298,08","349,92","406,08","447,12","490,32"
"Projected error",0,"0,279999999999999","1,64","0,84","1,12","1,4","1,68","0,879999999999995","1,16","1,44","0,640000000000001","0,920000000000002","0,120000000000005","0,400000000000006","0,680000000000007","-0,120000000000005","1,24000000000001","0,439999999999998","-0,360000000000014","-0,080000000000013","-10,6","-0,560000000000002","1,92000000000002","0,079999999999984","-6,07999999999998","2,88","9,68000000000001"
